DATE,AD_CLIENT_ID,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-04-16,partner-ebay-be-fr,515074,422287,0.8199,1574378,3400,0.0263,0.0081,0.30,1003.39,1.95
2014-04-30,partner-ebay-be-fr,496959,407034,0.819,1529086,3492,0.0124,0.0086,0.32,1107.48,2.23
2014-05-30,partner-ebay-be-fr,478238,403038,0.8428,1570869,3028,0.0166,0.0075,0.29,870.07,1.82
2014-05-11,partner-ebay-be-fr,641780,520099,0.8104,1912614,4094,0.0222,0.0079,0.28,1144.65,1.78
2014-04-17,partner-ebay-be-fr,500163,413478,0.8267,1544098,3369,0.0164,0.0081,0.33,1107.48,2.21
2014-04-06,partner-ebay-be-fr,676659,554581,0.8196,2087188,4785,0.011,0.0086,0.26,1227.34,1.81
2014-04-26,partner-ebay-be-fr,538257,442061,0.8213,1649839,3784,0.0227,0.0086,0.28,1048.15,1.95
2014-04-12,partner-ebay-be-fr,520382,425810,0.8183,1569350,3547,0.0114,0.0083,0.29,1022.16,1.96
2014-03-26,partner-ebay-be-fr,611336,493995,0.8081,1832876,4574,0.0176,0.0093,0.26,1180.05,1.93
2014-05-24,partner-ebay-be-fr,498689,407842,0.8178,1525610,2997,0.0112,0.0073,0.29,868.04,1.74
2014-05-15,partner-ebay-be-fr,506943,413747,0.8162,1545452,3120,0.0152,0.0075,0.28,882.45,1.74
2014-04-21,partner-ebay-be-fr,647171,531657,0.8215,1972272,4364,0.0118,0.0082,0.28,1211.02,1.87
2014-05-07,partner-ebay-be-fr,586468,476750,0.8129,1785912,4082,0.0213,0.0086,0.31,1255.95,2.14
2014-05-01,partner-ebay-be-fr,626410,509995,0.8142,1897006,4214,0.0159,0.0083,0.30,1251.25,2.00
2014-05-21,partner-ebay-be-fr,554541,453709,0.8182,1692419,3510,0.0138,0.0077,0.32,1108.24,2.00
2014-05-29,partner-ebay-be-fr,573457,477809,0.8332,1838851,3865,0.0145,0.0081,0.32,1237.71,2.16
2014-06-11,partner-ebay-be-fr,465659,385996,0.8289,1454316,2856,0.0299,0.0074,0.32,907.46,1.95
2014-04-03,partner-ebay-be-fr,542212,442528,0.8162,1670331,3908,0.0124,0.0088,0.27,1067.98,1.97
2014-05-08,partner-ebay-be-fr,589023,480126,0.8151,1786960,3829,0.0222,0.008,0.29,1105.54,1.88
2014-06-08,partner-ebay-be-fr,474747,395068,0.8322,1512442,2826,0.0184,0.0072,0.33,925.95,1.95
2014-05-14,partner-ebay-be-fr,552698,451855,0.8175,1681591,3574,0.0335,0.0079,0.30,1070.29,1.94
2014-04-20,partner-ebay-be-fr,523279,434162,0.8297,1629247,3179,0.02,0.0073,0.30,958.54,1.83
2014-03-24,partner-ebay-be-fr,646637,518242,0.8014,1925489,4465,0.013,0.0086,0.25,1104.11,1.71
2014-04-13,partner-ebay-be-fr,641679,529496,0.8252,1978719,4456,0.0152,0.0084,0.28,1242.91,1.94
2014-05-22,partner-ebay-be-fr-vip-01,283222,176042,0.6216,555417,167,0.0291,0.0009,0.36,60.38,0.21
