DATE,AD_CLIENT_ID,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-04-01,partner-ebay-ca,2632531,2094460,0.7956,10095820,13876,0.0212,0.0066,0.34,4653.47,1.77
2014-06-07,partner-ebay-ca,2062096,1622896,0.787,7922150,10437,0.0249,0.0064,0.37,3866.27,1.87
2014-04-06,partner-ebay-ca,2923361,2330339,0.7971,11161417,16010,0.0244,0.0069,0.31,5011.43,1.71
2014-05-21,partner-ebay-ca,2484552,1974814,0.7948,9585212,13002,0.0178,0.0066,0.35,4598.10,1.85
2014-03-20,partner-ebay-ca,2745671,2186352,0.7963,10652664,13311,0.0257,0.0061,0.35,4676.69,1.70
2014-04-30,partner-ebay-ca,2426683,1894216,0.7806,8993380,12569,0.0196,0.0066,0.36,4465.16,1.84
2014-05-18,partner-ebay-ca,2386210,1879721,0.7877,9080430,12974,0.0216,0.0069,0.32,4195.83,1.76
2014-05-25,partner-ebay-ca,2589325,2067565,0.7985,10141579,14501,0.0172,0.007,0.36,5190.46,2.00
2014-03-23,partner-ebay-ca,3201118,2524221,0.7885,12111962,16749,0.022,0.0066,0.31,5252.39,1.64
2014-05-19,partner-ebay-ca,2672771,2118895,0.7928,10282904,15197,0.019,0.0072,0.34,5164.72,1.93
2014-04-14,partner-ebay-ca,2599321,2039245,0.7845,9691426,13939,0.0193,0.0068,0.35,4817.25,1.85
2014-04-08,partner-ebay-ca,2645524,2111782,0.7982,10182268,14249,0.0187,0.0067,0.33,4681.64,1.77
2014-06-04,partner-ebay-ca,2345490,1853991,0.7904,9061190,12050,0.017,0.0065,0.38,4552.01,1.94
2014-04-02,partner-ebay-ca,2575108,2061396,0.8005,9952797,13212,0.0226,0.0064,0.34,4522.34,1.76
2014-06-11,partner-ebay-ca,2430017,1918786,0.7896,9378475,12760,0.0185,0.0067,0.36,4556.88,1.88
2014-05-14,partner-ebay-ca,2277934,1812660,0.7957,8812366,11836,0.0229,0.0065,0.36,4317.23,1.90
2014-05-03,partner-ebay-ca,2582481,2013454,0.7797,9577269,13421,0.0202,0.0067,0.35,4735.51,1.83
2014-06-09,partner-ebay-ca,2431199,1918738,0.7892,9345508,12730,0.0159,0.0066,0.37,4679.91,1.92
2014-03-26,partner-ebay-ca,2865688,2288864,0.7987,11043314,19396,0.019,0.0085,0.33,6418.72,2.24
2014-03-25,partner-ebay-ca,2768751,2204610,0.7962,10631448,14720,0.0204,0.0067,0.32,4731.76,1.71
2014-04-25,partner-ebay-ca,2394538,1897728,0.7925,9145407,12826,0.0206,0.0068,0.36,4651.67,1.94
2014-06-02,partner-ebay-ca,2403056,1919045,0.7986,9463798,12501,0.0201,0.0065,0.37,4606.71,1.92
2014-03-18,partner-ebay-ca,2851371,2245032,0.7874,10772863,13652,0.0176,0.0061,0.35,4752.75,1.67
2014-06-01,partner-ebay-ca,2389659,1926661,0.8062,9647460,12329,0.0164,0.0064,0.37,4553.16,1.91
2014-04-24,partner-ebay-ca,2426086,1918491,0.7908,9232828,12570,0.0222,0.0066,0.36,4495.98,1.85
2014-05-02,partner-ebay-ca,2325277,1829661,0.7869,8713461,11579,0.0238,0.0063,0.37,4279.44,1.84
2014-04-07,partner-ebay-ca-fr,459909,390552,0.8492,1589235,5202,0.0218,0.0133,0.21,1114.53,2.42
2014-04-30,partner-ebay-ca-fr,421590,356996,0.8468,1482961,4908,0.0174,0.0137,0.21,1027.51,2.44
2014-06-07,partner-ebay-ca-fr,265425,225112,0.8481,939052,2961,0.0153,0.0132,0.24,708.17,2.67
2014-04-01,partner-ebay-ca-fr,444646,377677,0.8494,1546223,5199,0.017,0.0138,0.22,1139.66,2.56
2014-03-23,partner-ebay-ca-fr,638970,544419,0.852,2263087,7432,0.0184,0.0137,0.20,1516.27,2.37
2014-05-30,partner-ebay-ca-fr,320985,279445,0.8706,1185203,3676,0.0118,0.0132,0.23,858.37,2.67
2014-04-24,partner-ebay-ca-fr,393376,336202,0.8547,1422834,4488,0.0101,0.0133,0.22,974.09,2.48
2014-05-19,partner-ebay-ca-fr,421420,360704,0.8559,1488865,5150,0.016,0.0143,0.22,1115.73,2.65
2014-04-15,partner-ebay-ca-fr,463012,394221,0.8514,1641998,5697,0.0162,0.0145,0.21,1209.01,2.61
2014-05-26,partner-ebay-ca-fr,399930,343167,0.8581,1431836,4951,0.0108,0.0144,0.21,1058.63,2.65
2014-05-12,partner-ebay-ca-fr,381542,325972,0.8544,1359604,4550,0.0137,0.014,0.21,946.80,2.48
2014-06-11,partner-ebay-ca-fr,350815,298637,0.8513,1239313,3795,0.0117,0.0127,0.22,820.63,2.34
2014-06-05,partner-ebay-ca-fr,344342,294365,0.8549,1232320,4030,0.0125,0.0137,0.21,845.37,2.46
2014-04-08,partner-ebay-ca-fr,501124,425891,0.8499,1766011,6211,0.0194,0.0146,0.21,1323.06,2.64
2014-03-20,partner-ebay-ca-fr,467894,403882,0.8632,1681518,5228,0.0217,0.0129,0.22,1144.83,2.45
2014-05-06,partner-ebay-ca-fr,381685,327379,0.8577,1369192,4732,0.0121,0.0145,0.21,978.75,2.56
2014-04-29,partner-ebay-ca-fr,401436,341316,0.8502,1432048,4871,0.0152,0.0143,0.20,980.98,2.44
2014-05-25,partner-ebay-ca-fr,376565,322346,0.856,1344793,4563,0.0219,0.0142,0.20,934.55,2.48
2014-04-22,partner-ebay-ca-fr,457648,393412,0.8596,1668050,6003,0.0183,0.0153,0.21,1286.59,2.81
2014-04-14,partner-ebay-ca-fr,458810,390717,0.8516,1615548,5760,0.0167,0.0147,0.20,1164.09,2.54
2014-04-28,partner-ebay-ca-fr,421856,356598,0.8453,1496052,5441,0.0156,0.0153,0.20,1075.46,2.55
2014-06-04,partner-ebay-ca-fr,358260,307560,0.8585,1287874,4437,0.0175,0.0144,0.21,920.27,2.57
2014-05-03,partner-ebay-ca-fr,439207,372806,0.8488,1542750,5544,0.0193,0.0149,0.21,1142.88,2.60
2014-04-02,partner-ebay-ca-fr,453450,385566,0.8503,1577790,5325,0.0204,0.0138,0.22,1171.26,2.58
2014-05-13,partner-ebay-ca-fr,371214,316062,0.8514,1307845,4288,0.0127,0.0136,0.22,957.08,2.58
2014-03-30,partner-ebay-ca-fr,654327,558935,0.8542,2321376,8080,0.0204,0.0145,0.19,1557.33,2.38
2014-05-29,partner-ebay-ca-fr,308273,269293,0.8736,1146652,3465,0.0128,0.0129,0.24,846.36,2.75
2014-03-17,partner-ebay-ca-fr,506047,434890,0.8594,1812915,6170,0.0188,0.0142,0.23,1396.01,2.76
2014-03-26,partner-ebay-ca-fr,487878,416086,0.8528,1727284,6571,0.0238,0.0158,0.21,1412.42,2.90
2014-06-03,partner-ebay-ca-fr,382759,329983,0.8621,1377373,4916,0.0095,0.0149,0.23,1112.79,2.91
2014-03-29,partner-ebay-ca-fr,518835,444639,0.857,1856247,6678,0.0243,0.015,0.22,1456.00,2.81
2014-04-20,partner-ebay-ca-fr,417479,358533,0.8588,1515763,4519,0.0229,0.0126,0.22,998.75,2.39
2014-06-08,partner-ebay-ca-fr,322661,275969,0.8553,1159136,3980,0.0107,0.0144,0.22,890.59,2.76
2014-05-08,partner-ebay-ca-fr,347795,296668,0.853,1236441,4129,0.0129,0.0139,0.22,910.57,2.62
2014-04-19,partner-ebay-ca-fr,429013,367065,0.8556,1548278,5285,0.0149,0.0144,0.21,1118.03,2.61
2014-05-28,partner-ebay-ca-fr,346749,300308,0.8661,1268576,4075,0.0193,0.0136,0.22,907.23,2.62
2014-03-19,partner-ebay-ca-fr,473546,407234,0.86,1688165,5343,0.0166,0.0131,0.22,1177.00,2.49
2014-03-24,partner-ebay-ca-fr,520691,443261,0.8513,1820321,6055,0.0148,0.0137,0.21,1297.61,2.49
2014-06-10,partner-ebay-ca-fr,352656,300160,0.8511,1266287,4167,0.0142,0.0139,0.22,901.87,2.56
2014-04-06,partner-ebay-ca-fr,584183,500503,0.8568,2060926,7193,0.0165,0.0144,0.20,1421.24,2.43
2014-05-09,partner-ebay-ca-fr,365353,311308,0.8521,1293695,4158,0.0189,0.0134,0.22,931.85,2.55
2014-04-21,partner-ebay-ca-fr,500369,428966,0.8573,1805155,6684,0.0176,0.0156,0.21,1371.35,2.74
2014-05-07,partner-ebay-ca-fr,349416,297780,0.8522,1236938,4032,0.0183,0.0135,0.22,874.60,2.50
2014-04-18,partner-ebay-ca-fr,417777,355975,0.8521,1491596,4816,0.0153,0.0135,0.21,995.38,2.38
2014-05-10,partner-ebay-ca-fr,381723,318854,0.8353,1331432,4450,0.0198,0.014,0.21,936.35,2.45
2014-04-17,partner-ebay-ca-fr,374760,318055,0.8487,1320746,4324,0.0157,0.0136,0.21,893.30,2.38
2014-05-27,partner-ebay-ca-fr,419966,360817,0.8592,1501092,5099,0.0116,0.0141,0.22,1137.80,2.71
2014-06-02,partner-ebay-ca-fr,357146,309386,0.8663,1317995,4540,0.013,0.0147,0.22,1021.40,2.86
2014-04-26,partner-ebay-ca-fr,504594,428020,0.8482,1791916,6213,0.0183,0.0145,0.21,1325.10,2.63
2014-05-11,partner-ebay-ca-fr,410421,349102,0.8506,1463802,5134,0.0096,0.0147,0.21,1089.43,2.65
2014-06-01,partner-ebay-ca-fr,362647,317684,0.876,1364640,4363,0.0465,0.0137,0.23,998.67,2.75
2014-03-31,partner-ebay-ca-fr,486167,410959,0.8453,1673193,5572,0.0152,0.0136,0.20,1138.52,2.34
2014-03-28,partner-ebay-ca-fr,476680,410651,0.8615,1717333,5704,0.0174,0.0139,0.21,1221.20,2.56
2014-05-21,partner-ebay-ca-fr,346719,295888,0.8534,1229955,4140,0.0159,0.014,0.22,910.09,2.62
2014-04-16,partner-ebay-ca-fr,421680,358794,0.8509,1489214,5088,0.0168,0.0142,0.22,1120.75,2.66
2014-03-22,partner-ebay-ca-fr,558869,472775,0.8459,1951598,6332,0.0195,0.0134,0.23,1476.88,2.64
2014-05-15,partner-ebay-ca-fr,315589,269698,0.8546,1125638,3408,0.0145,0.0126,0.23,778.27,2.47
2014-05-31,partner-ebay-ca-fr,322905,281382,0.8714,1202417,3693,0.0123,0.0131,0.23,839.39,2.60
2014-04-10,partner-ebay-ca-fr,447251,382209,0.8546,1575740,5229,0.0175,0.0137,0.21,1105.56,2.47
2014-05-18,partner-ebay-ca-fr,365818,309972,0.8473,1277087,4298,0.0158,0.0139,0.22,936.72,2.56
2014-03-27,partner-ebay-ca-fr,476970,412748,0.8654,1741977,5772,0.018,0.014,0.23,1298.92,2.72
2014-05-05,partner-ebay-ca-fr,434868,368977,0.8485,1532273,5488,0.0175,0.0149,0.20,1083.47,2.49
2014-06-06,partner-ebay-ca-fr,315822,269683,0.8539,1122070,3582,0.0229,0.0133,0.21,763.09,2.42
2014-06-09,partner-ebay-ca-fr,330700,284251,0.8595,1197029,3913,0.0134,0.0138,0.23,881.61,2.67
2014-04-03,partner-ebay-ca-fr,434734,369087,0.849,1503595,5182,0.0241,0.014,0.22,1115.74,2.57
2014-05-17,partner-ebay-ca-fr,385500,327149,0.8486,1350727,4519,0.0185,0.0138,0.22,1005.15,2.61
2014-05-24,partner-ebay-ca-fr,337843,287395,0.8507,1203958,3791,0.0163,0.0132,0.24,897.67,2.66
2014-03-15,partner-ebay-ca-fr,546891,470619,0.8605,1941314,6342,0.0123,0.0135,0.23,1480.96,2.71
2014-05-02,partner-ebay-ca-fr,392949,334791,0.852,1396603,4682,0.016,0.014,0.21,999.77,2.54
2014-03-21,partner-ebay-ca-fr,452125,384962,0.8515,1597642,4806,0.0242,0.0125,0.23,1117.78,2.47
2014-04-23,partner-ebay-ca-fr,415170,357580,0.8613,1509812,5094,0.0149,0.0142,0.21,1083.52,2.61
2014-04-25,partner-ebay-ca-fr,365616,310414,0.849,1306804,4176,0.0165,0.0135,0.23,959.42,2.62
2014-04-04,partner-ebay-ca-fr,433004,366693,0.8469,1502354,4856,0.0178,0.0132,0.22,1054.05,2.43
2014-04-12,partner-ebay-ca-fr,466297,396303,0.8499,1632778,5821,0.0182,0.0147,0.22,1264.75,2.71
2014-04-09,partner-ebay-ca-fr,455918,389490,0.8543,1602829,5553,0.0253,0.0143,0.21,1160.27,2.54
2014-03-16,partner-ebay-ca-fr,635026,549911,0.866,2296636,7787,0.0183,0.0142,0.21,1631.36,2.57
2014-03-25,partner-ebay-ca-fr,487460,418707,0.859,1742677,5536,0.0146,0.0132,0.21,1168.84,2.40
2014-04-11,partner-ebay-ca-fr,410805,348069,0.8473,1431322,4776,0.0171,0.0137,0.22,1028.63,2.50
2014-05-04,partner-ebay-ca-fr,572369,489615,0.8554,2048757,7762,0.015,0.0159,0.19,1467.41,2.56
2014-04-13,partner-ebay-ca-fr,600926,514476,0.8561,2148663,7572,0.0157,0.0147,0.21,1578.47,2.63
2014-05-23,partner-ebay-ca-fr,327156,279064,0.853,1155694,3668,0.0171,0.0131,0.24,862.68,2.64
2014-05-16,partner-ebay-ca-fr,344728,292202,0.8476,1198503,3785,0.0184,0.013,0.22,835.46,2.42
2014-05-20,partner-ebay-ca-fr,336102,286639,0.8528,1187797,4131,0.0072,0.0144,0.22,893.12,2.66
2014-03-18,partner-ebay-ca-fr,487673,418341,0.8578,1734223,5443,0.0157,0.013,0.22,1188.97,2.44
2014-05-01,partner-ebay-ca-fr,402284,344213,0.8556,1425495,5010,0.0118,0.0146,0.20,1018.73,2.53
2014-04-27,partner-ebay-ca-fr,547712,465230,0.8494,1956923,6983,0.0221,0.015,0.19,1338.84,2.44
2014-05-22,partner-ebay-ca-fr,363707,312259,0.8585,1312428,4346,0.0114,0.0139,0.21,931.45,2.56
2014-04-05,partner-ebay-ca-fr,546382,462409,0.8463,1884975,6706,0.0145,0.0145,0.20,1358.18,2.49
2014-05-14,partner-ebay-ca-fr,364319,312485,0.8577,1302927,4183,0.0132,0.0134,0.23,944.66,2.59
2014-05-27,partner-ebay-ca-vip-01,1562125,1248622,0.7993,4946260,2061,0.0365,0.0017,0.46,942.56,0.60
2014-03-21,partner-ebay-ca-vip-01,1672252,1157400,0.6921,5256109,2306,0.0364,0.002,0.33,758.24,0.45
2014-04-17,partner-ebay-ca-vip-01,1568595,1222419,0.7793,4821178,2253,0.0264,0.0018,0.41,925.31,0.59
2014-03-30,partner-ebay-ca-vip-01,2081590,1429978,0.687,6404655,2903,0.0258,0.002,0.30,861.31,0.41
2014-05-02,partner-ebay-ca-vip-01,1524410,1190613,0.781,4631889,1994,0.0381,0.0017,0.46,913.09,0.60
2014-05-10,partner-ebay-ca-vip-01,1455984,1146962,0.7878,4473744,1804,0.0249,0.0016,0.44,789.70,0.54
2014-04-11,partner-ebay-ca-vip-01,1542648,1213294,0.7865,4827786,2116,0.0333,0.0017,0.42,880.47,0.57
2014-05-09,partner-ebay-ca-vip-01,1447109,1146789,0.7925,4504708,1819,0.034,0.0016,0.47,846.10,0.58
2014-04-19,partner-ebay-ca-vip-01,1593657,1228575,0.7709,4810527,2112,0.0374,0.0017,0.42,876.97,0.55
2014-04-18,partner-ebay-ca-vip-01,1787659,1387347,0.7761,5456735,2434,0.0248,0.0018,0.44,1083.12,0.61
2014-04-20,partner-ebay-ca-vip-01,1592571,1217586,0.7645,4749362,1890,0.0367,0.0016,0.39,735.11,0.46
2014-05-22,partner-ebay-ca-vip-01,1505228,1200036,0.7972,4765475,2137,0.026,0.0018,0.46,975.50,0.65
2014-03-26,partner-ebay-ca-vip-01,1782863,1249269,0.7007,5666203,2498,0.0325,0.002,0.30,745.83,0.42
2014-03-17,partner-ebay-ca-vip-01,1843836,1357160,0.7361,6390754,2276,0.0453,0.0017,0.39,880.94,0.48
2014-06-10,partner-ebay-ca-vip-01,1535483,1223588,0.7969,4812370,2019,0.049,0.0017,0.47,947.83,0.62
2014-05-17,partner-ebay-ca-vip-01,1400064,1102295,0.7873,4329106,1922,0.0424,0.0017,0.42,800.59,0.57
2014-03-16,partner-ebay-ca-vip-01,2099013,1549291,0.7381,7303825,2728,0.0187,0.0018,0.38,1027.56,0.49
2014-06-03,partner-ebay-ca-vip-01,1506315,1207347,0.8015,4778429,1946,0.0299,0.0016,0.45,870.36,0.58
2014-03-29,partner-ebay-ca-vip-01,1821686,1255332,0.6891,5631710,2624,0.0202,0.0021,0.29,765.43,0.42
2014-04-06,partner-ebay-ca-vip-01,1945690,1358680,0.6983,6164285,2775,0.0273,0.002,0.30,834.40,0.43
2014-06-08,partner-ebay-ca-vip-01,1570148,1224453,0.7798,4755588,1965,0.0311,0.0016,0.45,880.43,0.56
2014-04-10,partner-ebay-ca-vip-01,1627183,1285949,0.7903,5158327,2303,0.0328,0.0018,0.42,970.70,0.60
2014-05-08,partner-ebay-ca-vip-01,1521243,1198895,0.7881,4698967,2095,0.0301,0.0017,0.48,1000.29,0.66
2014-03-31,partner-ebay-ca-vip-01,1789429,1242621,0.6944,5566469,2653,0.0268,0.0021,0.31,818.86,0.46
2014-05-28,partner-ebay-ca-vip-01,1526233,1213154,0.7949,4782397,1884,0.0269,0.0016,0.46,868.35,0.57
2014-04-09,partner-ebay-ca-vip-01,1679884,1270638,0.7564,5476296,2468,0.0268,0.0019,0.39,967.89,0.58
2014-04-04,partner-ebay-ca-vip-01,1671975,1175868,0.7033,5349017,2370,0.0275,0.002,0.33,773.02,0.46
2014-03-19,partner-ebay-ca-vip-01,1787691,1293432,0.7235,6018983,2258,0.04,0.0017,0.43,960.49,0.54
2014-05-13,partner-ebay-ca-vip-01,1531890,1217594,0.7948,4816550,2028,0.0447,0.0017,0.43,866.11,0.57
2014-04-03,partner-ebay-ca-vip-01,1722261,1223120,0.7102,5605703,2345,0.0298,0.0019,0.33,762.21,0.44
2014-03-23,partner-ebay-ca-vip-01,2079650,1446166,0.6954,6550393,3016,0.0224,0.0021,0.27,822.02,0.40
2014-04-01,partner-ebay-ca-vip-01,1733646,1218125,0.7026,5537904,2422,0.0257,0.002,0.33,806.56,0.47
2014-06-11,partner-ebay-ca-vip-01,1554601,1230941,0.7918,4819811,1946,0.0366,0.0016,0.49,956.25,0.62
2014-05-18,partner-ebay-ca-vip-01,1564593,1222642,0.7814,4791712,2098,0.0327,0.0017,0.45,941.42,0.60
2014-04-08,partner-ebay-ca-vip-01,1740229,1231404,0.7076,5648632,2743,0.0228,0.0022,0.33,898.03,0.52
2014-05-24,partner-ebay-ca-vip-01,1375252,1090480,0.7929,4299981,1911,0.0295,0.0018,0.44,835.37,0.61
2014-04-30,partner-ebay-ca-vip-01,1599206,1234765,0.7721,4780015,2051,0.0149,0.0017,0.41,849.79,0.53
2014-03-18,partner-ebay-ca-vip-01,1784542,1293169,0.7247,6044341,2241,0.0403,0.0017,0.38,852.89,0.48
2014-06-07,partner-ebay-ca-vip-01,1289053,1013494,0.7862,3966961,1583,0.0198,0.0016,0.45,715.38,0.55
2014-04-13,partner-ebay-ca-vip-01,1867718,1454077,0.7785,5747823,2644,0.0272,0.0018,0.41,1080.24,0.58
2014-04-14,partner-ebay-ca-vip-01,1700322,1336873,0.7862,5283499,2509,0.0245,0.0019,0.42,1041.87,0.61
2014-05-25,partner-ebay-ca-vip-01,1604265,1267177,0.7899,4995947,2215,0.0221,0.0017,0.46,1023.58,0.64
2014-04-27,partner-ebay-ca-vip-01,1838907,1409453,0.7665,5488672,2586,0.0433,0.0018,0.39,1001.51,0.54
2014-05-14,partner-ebay-ca-vip-01,1500312,1190501,0.7935,4699056,1821,0.0309,0.0015,0.45,827.99,0.55
2014-05-03,partner-ebay-ca-vip-01,1669002,1290723,0.7734,4995609,2365,0.0267,0.0018,0.45,1075.99,0.64
2014-06-04,partner-ebay-ca-vip-01,1482697,1178865,0.7951,4641742,1835,0.0561,0.0016,0.47,866.15,0.58
2014-05-01,partner-ebay-ca-vip-01,1537042,1196735,0.7786,4649125,2037,0.0328,0.0017,0.41,842.17,0.55
2014-04-02,partner-ebay-ca-vip-01,1711268,1211081,0.7077,5538895,2472,0.0283,0.002,0.34,830.40,0.49
2014-04-16,partner-ebay-ca-vip-01,1642878,1290611,0.7856,5098591,2342,0.0429,0.0018,0.40,926.05,0.56
2014-06-02,partner-ebay-ca-vip-01,1509035,1212742,0.8037,4819562,2037,0.0373,0.0017,0.47,954.36,0.63
2014-04-05,partner-ebay-ca-vip-01,1835999,1283069,0.6988,5825549,2758,0.0302,0.0021,0.32,883.57,0.48
2014-04-29,partner-ebay-ca-vip-01,1635480,1263050,0.7723,4903447,2189,0.0357,0.0017,0.44,960.31,0.59
2014-05-16,partner-ebay-ca-vip-01,1421923,1121786,0.7889,4413605,1821,0.022,0.0016,0.49,884.78,0.62
2014-05-11,partner-ebay-ca-vip-01,1553932,1206324,0.7763,4698512,2003,0.0272,0.0017,0.41,824.52,0.53
2014-04-25,partner-ebay-ca-vip-01,1565053,1214888,0.7763,4766647,2016,0.0414,0.0017,0.41,836.32,0.53
2014-03-20,partner-ebay-ca-vip-01,1784814,1306908,0.7322,6154320,2240,0.0261,0.0017,0.37,825.50,0.46
2014-06-06,partner-ebay-ca-vip-01,1342571,1064947,0.7932,4187035,1636,0.0393,0.0015,0.50,825.58,0.61
2014-05-21,partner-ebay-ca-vip-01,1529306,1218225,0.7966,4814251,2087,0.0365,0.0017,0.49,1029.94,0.67
2014-05-23,partner-ebay-ca-vip-01,1429080,1133482,0.7932,4476793,1988,0.0307,0.0018,0.47,939.83,0.66
2014-03-15,partner-ebay-ca-vip-01,1850062,1352746,0.7312,6321607,2383,0.0399,0.0018,0.40,947.94,0.51
2014-06-01,partner-ebay-ca-vip-01,1501948,1199020,0.7983,4795437,1988,0.0217,0.0017,0.43,862.31,0.57
2014-05-12,partner-ebay-ca-vip-01,1569638,1244108,0.7926,4907034,2146,0.0285,0.0017,0.50,1067.09,0.68
2014-05-19,partner-ebay-ca-vip-01,1706091,1359144,0.7966,5359013,2467,0.0352,0.0018,0.44,1088.37,0.64
2014-05-26,partner-ebay-ca-vip-01,1613918,1293332,0.8014,5114160,2169,0.0351,0.0017,0.48,1045.05,0.65
2014-04-12,partner-ebay-ca-vip-01,1640118,1286972,0.7847,5100813,2236,0.0304,0.0017,0.39,880.09,0.54
2014-04-15,partner-ebay-ca-vip-01,1741939,1373130,0.7883,5457463,2526,0.0258,0.0018,0.37,946.30,0.54
2014-05-15,partner-ebay-ca-vip-01,1490546,1183082,0.7937,4666186,2083,0.0221,0.0018,0.46,949.93,0.64
2014-04-07,partner-ebay-ca-vip-01,1773402,1242371,0.7006,5652850,2604,0.0294,0.0021,0.33,865.38,0.49
2014-05-30,partner-ebay-ca-vip-01,1337515,1067263,0.7979,4238549,1677,0.0176,0.0016,0.46,766.46,0.57
2014-06-05,partner-ebay-ca-vip-01,1451965,1150745,0.7925,4509322,1896,0.0331,0.0016,0.46,863.34,0.59
2014-04-21,partner-ebay-ca-vip-01,1735191,1345956,0.7757,5272877,2379,0.0353,0.0018,0.43,1026.42,0.59
2014-05-29,partner-ebay-ca-vip-01,1466506,1157820,0.7895,4552481,1850,0.0206,0.0016,0.49,899.11,0.61
2014-04-24,partner-ebay-ca-vip-01,1595762,1238923,0.7764,4876086,2252,0.0289,0.0018,0.45,1019.66,0.64
2014-05-07,partner-ebay-ca-vip-01,1553934,1228767,0.7907,4820176,2040,0.0336,0.0017,0.51,1039.91,0.67
2014-03-22,partner-ebay-ca-vip-01,1883939,1300622,0.6904,5872519,2754,0.035,0.0021,0.27,730.42,0.39
2014-05-05,partner-ebay-ca-vip-01,1703350,1335297,0.7839,5198197,2376,0.0226,0.0018,0.44,1039.73,0.61
2014-04-22,partner-ebay-ca-vip-01,1681058,1309480,0.779,5143659,2380,0.025,0.0018,0.40,948.83,0.56
2014-04-28,partner-ebay-ca-vip-01,1690075,1305209,0.7723,5082695,2285,0.0305,0.0018,0.42,959.38,0.57
2014-04-26,partner-ebay-ca-vip-01,1699897,1314934,0.7735,5148022,2364,0.0351,0.0018,0.41,960.88,0.57
2014-05-06,partner-ebay-ca-vip-01,1603451,1269068,0.7915,4960941,2130,0.0305,0.0017,0.46,983.19,0.61
2014-06-09,partner-ebay-ca-vip-01,1542183,1222866,0.7929,4785505,2160,0.0898,0.0018,0.45,966.00,0.63
2014-03-24,partner-ebay-ca-vip-01,1862188,1310635,0.7038,5962438,2808,0.0247,0.0021,0.30,838.77,0.45
2014-03-28,partner-ebay-ca-vip-01,1686819,1174029,0.696,5332992,2223,0.0406,0.0019,0.32,717.91,0.43
2014-03-25,partner-ebay-ca-vip-01,1793636,1261115,0.7031,5741014,2674,0.023,0.0021,0.33,881.21,0.49
2014-04-23,partner-ebay-ca-vip-01,1652993,1284941,0.7773,5055949,2253,0.0272,0.0018,0.42,946.34,0.57
2014-03-27,partner-ebay-ca-vip-01,1733995,1211538,0.6987,5497169,2475,0.0275,0.002,0.32,797.87,0.46
2014-05-31,partner-ebay-ca-vip-01,1306827,1039744,0.7956,4128481,1863,0.0307,0.0018,0.48,898.39,0.69
2014-05-04,partner-ebay-ca-vip-01,1944123,1503671,0.7734,5830613,2658,0.0313,0.0018,0.40,1060.68,0.55
2014-05-20,partner-ebay-ca-vip-01,1572686,1251623,0.7959,4946011,2150,0.0508,0.0017,0.45,962.64,0.61
2014-03-22,partner-ebay-ch,201825,191277,0.9477,878882,3077,0.0122,0.0161,0.32,997.54,4.94
2014-04-11,partner-ebay-ch,137090,129410,0.944,590758,1978,0.012,0.0153,0.35,702.02,5.12
2014-06-07,partner-ebay-ch,111923,105324,0.941,482202,1468,0.0265,0.0139,0.56,817.91,7.31
2014-03-25,partner-ebay-ch,180735,171615,0.9495,788390,2756,0.0136,0.0161,0.37,1011.11,5.59
2014-04-15,partner-ebay-ch,162880,154925,0.9512,714121,2396,0.0168,0.0155,0.34,825.82,5.07
2014-06-01,partner-ebay-ch,168080,159326,0.9479,735015,2421,0.0182,0.0152,0.50,1199.85,7.14
2014-05-09,partner-ebay-ch,147757,138984,0.9406,635428,2118,0.0112,0.0152,0.48,1014.16,6.86
2014-04-07,partner-ebay-ch,171038,162440,0.9497,746921,2517,0.0118,0.0155,0.32,809.73,4.73
2014-03-23,partner-ebay-ch,241576,229353,0.9494,1055651,3874,0.0087,0.0169,0.34,1328.22,5.50
2014-05-30,partner-ebay-ch,158967,151015,0.95,698379,2246,0.0088,0.0149,0.52,1159.83,7.30
2014-04-01,partner-ebay-ch,160384,152414,0.9503,702359,2406,0.016,0.0158,0.35,849.44,5.30
2014-03-30,partner-ebay-ch,187002,179184,0.9582,833103,3058,0.0155,0.0171,0.36,1095.62,5.86
2014-05-07,partner-ebay-ch,172030,162778,0.9462,745862,2555,0.0139,0.0157,0.45,1153.47,6.71
2014-04-03,partner-ebay-ch,165806,156714,0.9452,718019,2410,0.0135,0.0154,0.38,917.76,5.54
2014-05-16,partner-ebay-ch,143971,135548,0.9415,617864,1999,0.0133,0.0147,0.49,974.82,6.77
2014-03-24,partner-ebay-ch,194633,184330,0.9471,848347,2943,0.0094,0.016,0.33,963.87,4.95
2014-04-06,partner-ebay-ch,206369,196670,0.953,908060,3005,0.0148,0.0153,0.34,1026.47,4.97
2014-06-11,partner-ebay-ch,134903,127332,0.9439,582183,1845,0.0128,0.0145,0.50,913.30,6.77
2014-03-19,partner-ebay-ch,174513,165877,0.9505,766075,2487,0.0174,0.015,0.38,939.03,5.38
2014-03-27,partner-ebay-ch,168553,160990,0.9551,745432,2688,0.0143,0.0167,0.38,1017.30,6.04
2014-04-05,partner-ebay-ch,182463,173355,0.9501,799444,2738,0.0105,0.0158,0.37,999.79,5.48
