DATE,AD_CLIENT_ID,PLATFORM_TYPE_CODE,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-03-06,partner-ebay-ca-vip-01,unknown,496,0,0,0,0,,,,0.00,0.00
2014-03-07,partner-ebay-ca-vip-01,unknown,560,0,0,0,0,,,,0.00,0.00
2014-03-16,partner-ebay-ca-vip-01,unknown,515,0,0,0,0,,,,0.00,0.00
2014-03-15,partner-ebay-ca-vip-01,unknown,428,0,0,0,0,,,,0.00,0.00
2014-03-11,partner-ebay-ca-vip-01,unknown,420,0,0,0,0,,,,0.00,0.00
2014-03-12,partner-ebay-ca-vip-01,unknown,373,0,0,0,0,,,,0.00,0.00
2014-03-10,partner-ebay-ca-vip-01,unknown,448,0,0,0,0,,,,0.00,0.00
2014-03-13,partner-ebay-ca-vip-01,unknown,390,0,0,0,0,,,,0.00,0.00
2014-03-14,partner-ebay-ca-vip-01,unknown,402,0,0,0,0,,,,0.00,0.00
2014-03-10,partner-ebay-ch,Desktop,159182,151258,0.9502,697407,2199,0.0291,0.0145,0.38,828.50,5.20
2014-03-11,partner-ebay-ch,Desktop,150417,143164,0.9518,659732,2194,0.0086,0.0153,0.38,839.98,5.58
2014-03-16,partner-ebay-ch,Desktop,176990,168319,0.951,775881,2591,0.0126,0.0154,0.34,872.55,4.93
2014-03-12,partner-ebay-ch,Desktop,143318,136119,0.9498,628353,2017,0.0161,0.0148,0.36,718.04,5.01
2014-03-15,partner-ebay-ch,Desktop,153362,145859,0.9511,671790,2101,0.0127,0.0144,0.36,750.61,4.89
